"","MA1","MA2","QU1","QU2","QY3","QY4","TH1","TH2","UA1","UA2","UA4","VZ6","VZ8","VZ9","WU1","WU3","WU4","WV1","WV3","WV4","WZ1","WZ3","WZ4","XE1","XE3","XE6","XR1","XR3","XR4","XZ1","XZ3","XZ4","YA1","YA3","YA4","YM1","YM4"
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Eubacteriaceae;D_5__Pseudoramibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XI;D_5__Finegoldia",0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XI;D_5__Parvimonas",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XI;D_5__Peptoniphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;D_5__Incertae Sedis",11,4,0,0,0,0,0,0,2,0,0,11,27,5,8,0,0,1,1,4,0,0,0,0,0,0,22,0,5,0,0,0,32,0,0,0,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;D_5__uncultured",21,12,0,0,0,0,0,0,1,0,0,15,7,3,8,0,0,6,1,1,0,0,0,0,0,0,39,0,2,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes",92,2,0,0,0,0,0,1,1,0,0,99,9,0,1281,0,0,131,6,3,76,0,1,0,0,0,159,0,3,0,0,0,27,0,0,5,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Blautia",81,424,41,86,37,29,3,3,258,39,0,1975,50,434,509,885,55,61,232,27,316,28,6,1,1,8,172,158,116,4,20,17,530,1,1,681,1778
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Coprococcus",9,56,0,0,0,0,0,0,249,0,0,24,1,1,64,0,0,17,11,5,7,0,0,0,0,0,119,10,4,0,0,0,146,0,0,3,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Dorea",82,1,0,0,0,0,0,0,20,4,0,15,3,3,15,0,0,4,8,0,4,0,0,0,0,0,280,26,23,0,0,0,1,0,0,40,36
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Epulopiscium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,645,0,0,0,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Howardella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
